Year,Player,Age,Hometown,Home State,Tm,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year
2011,Spencer Larsen,27,Mesa,AZ,DEN,74,235,Arizona,Pac 12,82,99,3/4/1984,6,2008
2005,Derick Armstrong,26,Jasper,TX,HOU,74,206,Ark-Monticello,#N/A,#N/A,#N/A,4/2/1979,0,0
2000,Karsten Bailey,23,Newnan,GA,SEA,73,205,Auburn,SEC,130,61,4/26/1977,0,1999
2004,Stephen Davis,30,Spartanburg,SC,CAR,73,230,Auburn,SEC,130,61,3/1/1974,4,1996
2006,Tony Richardson,35,Frankfurt,Germany,MIN,73,238,Auburn,SEC,130,61,12/17/1971,0,0
2010,James Starks,24,Niagara Falls,NY,GNB,73,203,Buffalo,MAC,47,131,2/25/1986,6,2010
2007,Daniel Coats,23,Layton,UT,CIN,75,257,BYU,Independent,122,67,4/16/1984,0,0
2010,Cameron Morrah,23,Pomona,CA,SEA,75,244,California,Pac 12,90,94,3/18/1987,7,2009
2011,Shane Vereen,22,Valencia,CA,NWE,12,200,California,Pac 12,90,94,3/2/1989,2,2011
2013,Isaiah Pead,24,Columbus,OH,STL,70,197,Cincinnati,American,114,74,12/14/1989,2,2012
2008,Joe Klopfenstein,25,Denver,CO,STL,77,250,Colorado,Pac 12,78,108,11/9/1983,2,2006
2012,Lawrence Vickers,29,Houston,TX,DAL,73,240,Colorado,Pac 12,78,108,8/27/1900,6,2006
2010,David Anderson,27,Westlake Village,CA,HOU,70,195,Colorado St.,Mountain West,87,98,7/28/1983,7,2006
2010,Ben Patrick,26,Savannah,GA,ARI,75,252,Duke,ACC,44,134,8/23/1984,7,2007
2008,Ben Patrick,24,Savannah,GA,ARI,75,252,Duke,ACC,44,134,8/23/1984,7,2007
2006,Vonta Leach,25,Lumberton,NC,2TM,73,246,East Carolina,American,97,90,11/6/1981,0,0
2003,Alex Bannister,24,Cincinnati,OH,SEA,77,207,East. Kentucky,Ohio Valley,#N/A,#N/A,4/23/1979,5,0
2004,Aaron Walker,24,Titusville,FL,SFO,78,252,Florida,SEC,139,55,3/14/1980,5,2003
2003,Reche Caldwell,24,Tampa,FL,SDG,73,215,Florida,SEC,139,55,3/28/1979,2,2002
2012,Tim Tebow,25,Makati City,Phillippines,NYJ,74,0,Florida,SEC,139,55,1/0/1900,1,2010
2005,Quinn Gray,26,Fort Lauderdale,FL,JAX,75,246,Florida A&M,MEAC,#N/A,#N/A,5/21/1979,0,0
2007,Lorenzo Neal,37,Hanford,CA,SDG,12,255,Fresno St.,Mountain West,121,74,12/27/1970,4,1993
2004,Lorenzo Neal,34,Hanford,CA,SDG,71,255,Fresno St.,Mountain West,121,74,12/27/1970,4,1993
2013,Seyi Ajirotutu,26,El Dorado Hills,CA,SDG,75,211,Fresno St.,Mountain West,121,74,6/12/1987,0,0
2003,Verron Haynes,24,New York,NY,PIT,70,223,Georgia,SEC,142,53,2/17/1979,5,2002
2005,Jonathan Smith,24,Argyle,GA,BUF,70,194,Georgia Tech,ACC,117,77,11/28/1981,7,2004
2002,Randy Hymes,23,Galveston,TX,BAL,75,211,Grambling St.,SWAC,#N/A,#N/A,8/7/1979,0,0
2007,Ashley Lelie,27,Bellflower,CA,SFO,75,200,Hawaii,Mountain West,109,86,2/16/1980,1,2002
2012,Kealoha Pilares,24,Wahiawa,HI,CAR,70,213,Hawaii,Mountain West,109,86,7/31/1900,5,2011
2001,Robert Thomas,27,Little Rock,AR,DAL,73,270,Henderson St.,Great American Conference,#N/A,#N/A,12/1/1974,0,0
2010,Jackie Battle,27,Houston,TX,KAN,74,238,Houston,American,98,88,10/1/1983,0,0
2004,Jeff Robinson,34,Spokane,WA,DAL,76,264,Idaho,Sun Belt,48,130,2/20/1970,4,0
2010,Max Komar,23,Auburn,WA,ARI,71,202,Idaho,Sun Belt,48,130,11/30/1987,0,0
2009,Brandon Lloyd,28,Kansas City,MO,DEN,73,192,Illinois,Big Ten,73,107,7/5/1981,4,2003
2007,Carey Davis,26,St. Louis,MO,PIT,12,225,Illinois,Big Ten,73,107,3/27/1981,0,0
2004,Robert Holcombe,29,Houston,TX,TEN,71,208,Illinois,Big Ten,73,107,12/11/1975,2,1998
2001,Robert Holcombe,26,Houston,TX,STL,71,208,Illinois,Big Ten,73,107,12/11/1975,2,1998
2006,Aveion Cason,27,St. Petersburg,FL,DET,70,204,Illinois St.,Missouri Valley ,#N/A,#N/A,7/12/1979,0,0
2007,Jeremi Johnson,27,Louisville,KY,CIN,12,265,Indiana,Big Ten,58,118,9/4/1980,4,2003
2004,Jeremi Johnson,24,Louisville,KY,CIN,71,265,Indiana,Big Ten,58,118,9/4/1980,4,2003
1999,Eugene Baker,23,Monroeville,PA,ATL,74,183,Kent St.,MAC,66,111,3/18/1976,5,1999
2000,Moe Williams,26,Columbus,GA,MIN,73,205,Kentucky,SEC,71,110,7/26/1974,0,1996
2003,Quentin McCord,25,La Grange,GA,ATL,70,188,Kentucky,SEC,71,110,6/26/1978,7,2001
2013,Brandon Stokley,37,Blacksburg,VA,BAL,71,197,La-Lafayette,Sun Belt,74,104,6/23/1976,4,1999
2011,Jake Delhomme,36,Breaux Bridge,LA,HOU,74,215,La-Lafayette,Sun Belt,74,104,1/10/1975,0,0
2005,Dwayne Carswell,33,Jacksonville,FL,DEN,75,290,Liberty,Big South,#N/A,#N/A,1/18/1972,0,0
2010,Robert Royal,31,New Orleans,LA,CLE,76,257,LSU,SEC,146,48,5/15/1979,5,2002
2007,Byron Leftwich,27,Washington,DC,ATL,77,245,Marshall,Conference USA,107,80,1/14/1980,1,2003
2013,Clyde Gates,27,Vernon,TX,NYJ,71,189,Miami Dolphins,#N/A,#N/A,#N/A,6/13/1986,4,2011
2008,Ben Utecht,27,Hastings,MN,CIN,78,251,Minnesota,Big Ten,90,96,6/30/1981,0,0
2010,Laurence Maroney,25,St. Louis,MO,DEN,71,210,Minnesota,Big Ten,90,96,2/5/1985,1,2006
2011,Donald Lee,31,Maben,MS,CIN,75,255,Mississippi St.,SEC,83,99,8/31/1980,5,2003
2013,Blaine Gabbert,24,Ballwin,MO,JAX,77,235,Missouri,SEC,109,78,10/15/1989,1,2011
2008,Nate Burleson,27,Calgary,WA,SEA,73,192,Nevada-Reno,Mountain West,93,93,8/19/1981,3,2003
2001,Randy Jordan,31,Henderson,NC,OAK,70,207,North Carolina,ACC,70,97,6/6/1970,0,0
2010,Sam Hurd,25,San Antonio,TX,DAL,74,187,Northern Illinois,MAC,119,69,4/24/1985,0,0
2008,John Owens,28,Washington,DC,DET,75,266,Notre Dame,Independent,112,74,1/10/1980,5,2002
2000,Joey Galloway,29,Bellaire,OH,DAL,71,197,Ohio St.,Big Ten,138,41,11/20/1971,1,1995
2004,Michael Jenkins,22,Tampa,FL,ATL,76,217,Ohio St.,Big Ten,138,41,6/18/1982,1,2004
2001,Rickey Dudley,29,Henderson,TX,CLE,78,255,Ohio St.,Big Ten,138,41,7/15/1972,1,1996
2012,Keith Toston,25,Angleton,TX,JAX,73,210,Oklahoma St.,Big 12,113,73,7/28/1900,0,0
2001,A.J. Feeley,24,Caldwell,ID,PHI,75,225,Oregon,Pac 12,143,47,5/16/1977,5,2001
2001,Patrick Johnson,25,Gainesville,GA,BAL,70,186,Oregon,Pac 12,143,47,8/10/1976,2,1998
1999,Jon Witman,27,Wrightsville,PA,PIT,74,240,Penn St.,Big Ten,15,68,6/1/1972,3,1996
2004,Jim Finn,28,Teaneck,NJ,NYG,73,245,Pennsylvania,Ivy,#N/A,#N/A,12/9/1976,7,0
2003,Jim Finn,27,Teaneck,NJ,NYG,73,245,Pennsylvania,Ivy,#N/A,#N/A,12/9/1976,7,0
1999,Billy Davis,27,El Paso,TX,BAL,73,205,Pittsburgh,ACC,106,80,7/6/1972,0,0
2013,Vance McDonald,23,0,,SFO,76,267,Rice,Conference USA,76,104,1/0/1900,2,2013
2002,Derrick Blaylock,23,Atlanta,TX,KAN,69,205,S.F. Austin,Southland,#N/A,#N/A,8/23/1979,5,2001
2010,Kassim Osgood,30,Boston,MA,JAX,77,209,San Diego St.,Mountain West,77,104,5/20/1980,0,0
2001,Steve Heiden,25,Rushford,MN,SDG,77,265,South Dakota St.,Missouri Valley,#N/A,#N/A,9/21/1976,3,0
2011,Greg Camarillo,29,Redwood City,CA,MIN,73,190,Stanford,Pac 12,101,81,4/18/1982,0,0
2000,Rob Konrad,24,Rochester,NY,MIA,75,255,Syracuse,ACC,81,101,11/12/1976,0,1999
2013,Josh Boyce,22,0,,NWE,71,206,TCU,Big 12,138,49,1/0/1900,4,2013
2009,Brad Cottam,25,Germantown,TN,KAN,80,271,Tennessee,SEC,113,75,11/28/1984,3,2008
2012,Donte' Stallworth,32,Sacramento,CA,NWE,73,197,Tennessee,SEC,113,75,7/15/1900,1,2002
2002,Ricky Williams,24,Dallas,TX,IND,67,195,Texas Tech,Big 12,120,70,8/29/1978,0,0
2002,Paul Smith,24,El Paso,TX,SFO,71,234,Texas-El Paso,Conference USA,69,112,1/31/1978,5,2000
2013,Danny Noble,24,Elyria,OH,2TM,77,248,Toledo,MAC,112,72,3/30/1989,0,0
2006,Roydell Williams,25,New Orleans,LA,TEN,73,192,Tulane,American,60,119,3/14/1981,4,2005
2002,Danny Farmer,25,Los Angeles,CA,CIN,75,217,UCLA,Pac 12,100,88,5/21/1977,4,2000
2008,Dwayne Jarrett,22,New Brunswick,NJ,CAR,76,219,USC,Pac 12,129,49,9/11/1986,2,2007
2013,Rhett Ellison,25,0,,MIN,77,251,USC,Pac 12,129,49,1/0/1900,4,2012
2008,Billy McMullen,28,Richmond,VA,SEA,76,210,Virginia,ACC,90,95,3/8/1980,3,2003
2012,John Phillips,25,Lowmoor,VA,DAL,77,250,Virginia,ACC,90,95,9/6/1900,6,2009
2004,Matt Schaub,23,West Chester,PA,ATL,77,235,Virginia,ACC,90,95,6/25/1981,3,2004
2008,Tom Santi,23,New Orleans,LA,IND,77,250,Virginia,ACC,90,95,11/22/1985,6,2008
2010,David Clowney,25,Long Island,NY,2TM,73,190,Virginia Tech,ACC,147,50,7/7/1985,5,2007
2009,Ovie Mughelli,29,Charleston,SC,ATL,73,260,Wake Forest,ACC,86,96,6/10/1980,4,2003
2006,Ernie Conwell,34,Renton,WA,NOR,74,255,Washington,Pac 12,86,98,8/17/1972,2,1996
2009,Anthony Becht,32,Drexel Hill,PA,ARI,77,272,West Virginia,Big 12,120,67,8/8/1977,1,2000
2002,Cecil Martin,27,Chicago,IL,PHI,73,235,Wisconsin,Big Ten,135,60,7/8/1975,6,1999
2003,Erik Bickerstaff,23,Birmingham,AL,DAL,73,230,Wisconsin,Big Ten,135,60,7/25/1980,0,0
2011,Domenik Hixon,27,Neukirchen,Germany,NYG,74,192,Akron,MAC,66,111,10/8/1984,4,2006
1999,Chris Brazzell,23,Fort Worth,TX,DAL,74,193,Angelo State (TX),#N/A,#N/A,#N/A,5/22/1976,6,0
2010,Chris Gronkowski,24,Buffalo,NY,DAL,74,239,Arizona,Pac 12,82,99,12/26/1986,0,0
2013,Chris Gragg,23,0,,BUF,75,244,Arkansas,SEC,107,80,1/0/1900,7,2013
2009,Tarvaris Jackson,26,Mongtomery,AL,MIN,74,0,Arkansas,SEC,107,80,4/21/1983,2,2006
2001,Derrius Thompson,24,Dallas,TX,WAS,74,220,Baylor,Big 12,71,108,7/5/1977,0,0
2002,Bryan Johnson,24,Los Angeles,CA,WAS,73,245,Boise St.,Mountain West,165,29,1/18/1978,0,0
2001,Mike Cloud,26,Charleston,SC,KAN,70,205,Boston Col.,ACC,116,74,7/1/1975,2,1999
2005,William Green,26,Atlantic City,NJ,CLE,73,215,Boston Col.,ACC,116,74,12/17/1979,1,2002
2013,Justin Forsett,28,Lakeland,FL,JAX,68,190,California,Pac 12,90,94,10/14/1985,7,2008
2009,Lavelle Hawkins,23,Stockton,CA,TEN,71,187,California,Pac 12,90,94,7/12/1986,4,2008
2005,Casey Fitzsimmons,25,Wolf Point,MT,DET,76,258,Carroll (MT),#N/A,#N/A,#N/A,10/10/1980,0,0
2010,James Davis,24,0,,2TM,71,218,Cleveland Browns,#N/A,#N/A,#N/A,1/0/1900,6,0
2008,Lawrence Vickers,25,Houston,TX,CLE,73,240,Colorado,Pac 12,78,108,5/8/1983,6,2006
2005,Bradlee Van Pelt,25,Owosso,MI,DEN,74,220,Colorado St.,Mountain West,87,98,7/3/1980,7,2004
2006,Cecil Sapp,28,Miami,FL,DEN,71,229,Colorado St.,Mountain West,87,98,12/23/1978,0,0
2001,Damon Washington,24,Lockney,TX,NYG,71,193,Colorado St.,Mountain West,87,98,2/20/1977,0,0
2013,Joel Dreessen,31,Ida Grove,IA,DEN,76,260,Colorado St.,Mountain West,87,98,7/26/1982,6,2005
2008,Aundrae Allison,22,Kannapolis,NC,MIN,73,198,East Carolina,American,97,90,4/20/1986,5,2007
2011,Terrance Copper,29,Washington,NC,KAN,73,204,East Carolina,American,97,90,3/12/1982,0,0
2001,Jason Dunn,28,Harrodsburg,KY,KAN,78,276,East. Kentucky,Ohio Valley,#N/A,#N/A,11/15/1973,2,0
2007,Charlie Batch,33,Homestead,PA,PIT,74,220,East. Michigan,MAC,43,132,12/5/1974,2,1998
1999,Danny Wuerffel,25,Fort Walton Beach,FL,NOR,73,212,Florida,SEC,139,55,5/27/1974,4,1997
2000,Travis McGriff,24,Gainesville,FL,DEN,68,185,Florida,SEC,139,55,6/24/1976,0,1999
2007,Dwayne Wright,24,San Diego,CA,BUF,73,227,Fresno St.,Mountain West,121,74,6/2/1983,4,2007
2002,Robert Thomas,28,Little Rock,AR,DAL,73,270,Henderson St.,Great American Conference,#N/A,#N/A,12/1/1974,0,0
2011,Donnie Avery,27,Houston,TX,TEN,12,186,Houston,American,98,88,6/12/1984,2,2008
2007,Jackie Battle,24,Houston,TX,KAN,74,238,Houston,American,98,88,10/1/1983,0,0
2012,Michael Hoomanawanui,24,Bloomington,IL,NWE,75,271,Illinois,Big Ten,73,107,9/27/1900,5,2010
2011,John Conner,24,Cincinnati,OH,NYJ,12,240,Kentucky,SEC,71,110,6/8/1987,5,2010
2010,John Conner,23,Cincinnati,OH,NYJ,71,240,Kentucky,SEC,71,110,6/8/1987,5,2010
2003,Dwayne Carswell,31,Jacksonville,FL,DEN,75,290,Liberty,Big South,#N/A,#N/A,1/18/1972,0,0
2006,Richard Owens,26,Gainesville,FL,MIN,76,273,Louisville,ACC,127,61,11/4/1980,0,0
2007,Eddie Kennison,34,Lake Charles,LA,KAN,73,201,LSU,SEC,146,48,1/20/1973,1,1996
2010,Kevin Faulk,34,Lafayette,LA,NWE,68,202,LSU,SEC,146,48,6/5/1976,2,1999
2004,Mike Bartrum,34,Gallipolis,OH,PHI,76,245,Marshall,Conference USA,107,80,6/23/1970,0,0
2003,Jerame Tuman,27,Liberal,KS,PIT,76,255,Michigan,Big Ten,124,64,3/24/1976,5,1999
2008,Drew Stanton,24,Okemos,MI,DET,75,0,Michigan St.,Big Ten,112,76,5/7/1984,2,2007
2013,Phillip Tanner,25,Dallas,TX,DAL,73,213,Middle Tenn. St.,Conference USA,#N/A,#N/A,8/8/1988,0,0
2007,Deuce McAllister,29,Lena,MS,NOR,73,232,Mississippi,SEC,92,91,12/27/1978,1,2001
2006,Damien Nash,24,St. Louis,MO,DEN,70,215,Missouri,SEC,109,78,4/14/1982,5,2005
2002,Jarrod Baxter,23,Dayton,OH,HOU,73,245,New Mexico,Mountain West,72,111,3/9/1979,5,2002
1999,Winslow Oliver,26,Houston,TX,ATL,67,180,New Mexico,Mountain West,72,111,3/3/1973,3,1996
1999,Greg DeLong,26,Orefield,PA,BAL,76,250,North Carolina,ACC,70,97,4/3/1973,0,0
2008,Madison Hedgecock,27,Winston-Salem,NC,NYG,75,266,North Carolina,ACC,70,97,8/27/1981,7,2005
2012,Lance Dunbar,22,0,,DAL,68,191,North Texas,Conference USA,65,115,7/9/1900,0,0
2004,Michael Turner,22,Waukegan,IL,SDG,70,237,Northern Illinois,MAC,119,69,2/13/1982,5,2004
2011,Sam Hurd,26,San Antonio,TX,CHI,74,187,Northern Illinois,MAC,119,69,4/24/1985,0,0
2003,Eddie Berlin,25,Urbandale,IA,TEN,71,195,Northern Iowa,Missouri Valley,#N/A,#N/A,1/14/1978,5,0
2004,Ryan Hannam,24,St. Ansgar,IA,SEA,74,248,Northern Iowa,Missouri Valley,#N/A,#N/A,2/24/1980,5,0
2006,David Givens,26,Youngstown,OH,TEN,73,212,Notre Dame,Independent,112,74,8/16/1980,7,2002
2000,Rick Mirer,30,Elkhart,IN,SFO,75,210,Notre Dame,Independent,112,74,3/19/1970,1,1993
2013,Theo Riddick,22,0,,DET,70,201,Notre Dame,Independent,112,74,1/0/1900,6,2013
2009,Brian Robiskie,22,Los Angeles,CA,CLE,74,207,Ohio St.,Big Ten,138,41,12/3/1987,2,2009
2012,Josh Cooper,23,0,,CLE,70,190,Oklahoma St.,Big 12,113,73,7/8/1900,0,0
2002,Marcellus Rivers,24,Oklahoma City,OK,NYG,76,250,Oklahoma St.,Big 12,113,73,10/26/1978,0,0
2010,Dennis Dixon,25,San Leandro,CA,PIT,75,0,Oregon,Pac 12,143,47,1/11/1985,5,2008
1999,Jed Weaver,23,Bend,OR,PHI,76,258,Oregon,Pac 12,143,47,8/11/1976,7,1999
2000,Bobby Engram,27,Camden,SC,CHI,70,188,Penn St.,Big Ten,15,68,1/7/1973,0,1996
2008,Tony Hunt,23,San Antonio,TX,PHI,74,233,Penn St.,Big Ten,15,68,11/24/1985,3,2007
2004,Tony Stewart,25,Lohne,Germany,CIN,77,260,Penn St.,Big Ten,15,68,8/9/1979,5,2001
2001,Tony Stewart,22,Lohne,Germany,PHI,77,260,Penn St.,Big Ten,15,68,8/9/1979,5,2001
2002,John Jones,27,Cleveland,OH,BAL,76,255,Pittsburgh,ACC,106,80,4/4/1975,0,0
2008,Lousaka Polite,27,North Braddock,PA,MIA,73,246,Pittsburgh,ACC,106,80,9/14/1981,0,0
2009,Jarett Dillard,24,San Antonio,TX,JAX,70,185,Rice,Conference USA,76,104,12/21/1985,5,2009
2000,Marco Battaglia,27,Queens,NY,CIN,75,250,Rutgers,Big Ten,87,96,1/25/1973,0,1996
2010,Tiquan Underwood,23,New Brunswick,NJ,JAX,73,175,Rutgers,Big Ten,87,96,2/17/1987,7,2009
2004,Daimon Shelton,32,Duarte,CA,BUF,73,262,Sacramento St.,Big Sky,#N/A,#N/A,9/15/1972,6,0
1999,James Hodgins,22,San Jose,CA,STL,73,274,San Jose St.,Mountain West,72,107,4/30/1977,0,0
2013,Chris Owusu,23,Westlake Village,CA,TAM,73,195,Stanford,Pac 12,101,81,1/6/1990,0,0
2005,David Tyree,25,Livingston,NJ,NYG,73,205,Syracuse,ACC,81,101,1/3/1980,6,2003
2007,Jason McKie,27,Gulf Breeze,FL,CHI,12,240,Temple,American,59,117,5/22/1980,0,0
2005,Peerless Price,29,Dayton,OH,DAL,71,190,Tennessee,SEC,113,75,10/27/1976,2,1999
2008,Vince Young,25,Houston,TX,TEN,77,0,Texas,Big 12,149,45,5/18/1983,1,2006
2011,Sammy Morris,34,San Antonio,TX,DAL,73,220,Texas Tech,Big 12,120,70,3/23/1977,5,2000
2001,Sammy Morris,24,San Antonio,TX,BUF,73,220,Texas Tech,Big 12,120,70,3/23/1977,5,2000
1999,Travis Jervey,27,Columbia,SC,SFO,73,222,The Citadel,Southern,#N/A,#N/A,5/5/1972,5,0
2010,Roydell Williams,29,New Orleans,LA,WAS,73,192,Tulane,American,60,119,3/14/1981,4,2005
2002,Freddie Mitchell,24,Lakeland,FL,PHI,71,184,UCLA,Pac 12,100,88,11/28/1978,1,2001
2008,Greg Estandia,26,Moorpark,CA,JAX,80,240,UNLV,Mountain West,57,123,11/18/1982,0,0
2009,Matt Leinart,26,Santa Ana,CA,ARI,77,0,USC,Pac 12,129,49,5/11/1983,1,2006
2008,Todd Yoder,30,New Palestine,IN,WAS,76,250,Vanderbilt,SEC,65,114,3/18/1978,0,0
2009,Brian Finneran,33,Mission Viejo,CA,ATL,77,210,Villanova,Big East,#N/A,#N/A,1/31/1976,0,0
2000,Casey Crawford,23,Washington,DC,CAR,78,255,Virginia,ACC,90,95,8/1/1977,0,0
2010,Jonathan Stupar,26,State College,PA,BUF,75,250,Virginia,ACC,90,95,7/27/1984,0,0
2009,Tom Santi,24,New Orleans,LA,IND,77,250,Virginia,ACC,90,95,11/22/1985,6,2008
2008,Kevin Jones,26,Chester,PA,CHI,73,228,Virginia Tech,ACC,147,50,8/21/1982,1,2004
2004,Chris Chandler,39,Everett,WA,STL,76,224,Washington,Pac 12,86,98,10/12/1965,3,1988
2000,Damon Huard,27,Yakima,WA,MIA,75,215,Washington,Pac 12,86,98,7/9/1973,0,0
1999,Jeremy Brigham,24,Boston,MA,OAK,78,255,Washington,Pac 12,86,98,3/22/1975,5,1998
2010,Mark Brunell,40,Los Angeles,CA,NYJ,73,0,Washington,Pac 12,86,98,9/17/1970,5,1993
2000,Warren Moon,44,Los Angeles,CA,KAN,75,218,Washington,Pac 12,86,98,11/18/1956,0,0
2006,Jerome Harrison,23,Kalamazoo,MI,CLE,69,195,Washington St.,Pac 12,75,106,2/26/1983,5,2006
2008,Michael Bumpus,23,Honolulu,HI,SEA,71,194,Washington St.,Pac 12,75,106,12/13/1985,0,0
2007,Troy Bienemann,24,Minneapolis,MN,ARI,77,242,Washington St.,Pac 12,75,106,2/19/1983,0,0
2005,Anthony Becht,28,Drexel Hill,PA,TAM,77,272,West Virginia,Big 12,120,67,8/8/1977,1,2000
2005,Brad Hoover,29,High Point,NC,CAR,73,242,West. Carolina,Southern,#N/A,#N/A,11/11/1976,0,0
1999,Fabien Bownes,27,Aurora,IL,SEA,71,185,West. Illinois,Missouri Valley,#N/A,#N/A,2/29/1972,0,0
2004,Malcom Floyd,23,Sacramento,CA,SDG,77,201,Wyoming,Mountain West,69,109,9/8/1981,0,0
2011,Colin Cochart,24,0,,CIN,76,260,0,#N/A,#N/A,#N/A,1/0/1900,0,0
2008,Charlie Frye,27,Willard,OH,SEA,76,0,Akron,MAC,66,111,8/28/1981,3,2005
2010,Brandon Manumaleuna,30,Torrance,CA,CHI,74,288,Arizona,Pac 12,82,99,1/4/1980,4,2001
2008,Courtney Taylor,24,Carrollton,AL,SEA,75,204,Auburn,SEC,130,61,4/7/1984,6,2007
2007,Devin Aromashodu,23,Miami Springs,FL,IND,74,202,Auburn,SEC,130,61,5/23/1984,7,2006
2010,Heath Evans,32,West Palm Beach,FL,NOR,73,245,Auburn,SEC,130,61,12/30/1978,3,2001
2002,Rudi Johnson,23,Ettrick,VA,CIN,70,220,Auburn,SEC,130,61,10/1/1979,4,2001
2007,Tony Richardson,36,Frankfurt,Germany,MIN,73,238,Auburn,SEC,130,61,12/17/1971,0,0
2010,Dominique Zeigler,26,Kalamazoo,MI,SFO,75,185,Baylor,Big 12,71,108,10/11/1984,0,0
2008,Dominique Zeigler,24,Kalamazoo,MI,SFO,75,185,Baylor,Big 12,71,108,10/11/1984,0,0
2009,Derek Schouman,24,Sandy,UT,BUF,74,247,Boise St.,Mountain West,165,29,3/11/1985,7,2007
2007,Jeb Putzier,28,Eagle,ID,HOU,76,256,Boise St.,Mountain West,165,29,1/20/1979,6,2002
2008,Korey Hall,25,Mountain Home,ID,GNB,73,230,Boise St.,Mountain West,165,29,8/5/1983,6,2007
2006,Marcus Pollard,34,Valley,AL,DET,75,247,Bradley,Missouri Valley,#N/A,#N/A,2/8/1972,0,0
2010,Naufahu Tahi,29,Fontana,CA,MIN,73,230,BYU,Independent,122,67,10/30/1981,0,0
2004,Casey Fitzsimmons,24,Wolf Point,MT,DET,76,258,Carroll (MT),#N/A,#N/A,#N/A,10/10/1980,0,0
2012,Bruce Miller,25,Canton,GA,SFO,73,254,Central Florida,American,99,86,9/10/1900,7,2011
2003,Dondre Gilliam,26,Baltimore,MD,SDG,73,185,Cheyney,#N/A,#N/A,#N/A,2/9/1977,0,0
2006,Jamaal Branch,25,Hartford,CT,NOR,73,225,Colgate,Patriot League,#N/A,#N/A,1/30/1981,0,0
2007,Joe Klopfenstein,24,Denver,CO,STL,77,250,Colorado,Pac 12,78,108,11/9/1983,2,2006
2000,Michael Westbrook,28,Detroit,MI,WAS,75,220,Colorado,Pac 12,78,108,7/7/1972,1,1995
2001,Scottie Montgomery,23,Shelby,NC,DEN,73,195,Duke,ACC,44,134,5/26/1978,0,0
2012,Thaddeus Lewis,27,Opa-locka,FL,CLE,73,0,Duke,ACC,44,134,1/0/1900,0,0
1999,Carlester Crumpler,28,Greenville,NC,MIN,78,260,East Carolina,American,97,90,9/5/1971,7,1994
2011,Vonta Leach,30,Lumberton,NC,BAL,73,246,East Carolina,American,97,90,11/6/1981,0,0
2011,Taiwan Jones,23,San Francisco,CA,OAK,12,202,East. Washington,Big Sky,#N/A,#N/A,7/26/1988,4,0
2013,Deonte Thompson,24,Belle Glades,FL,BAL,73,200,Florida,SEC,139,55,2/14/1989,0,0
2005,Rex Grossman,25,Bloomington,IN,CHI,73,0,Florida,SEC,139,55,8/23/1980,1,2003
2005,Taylor Jacobs,24,Tallahassee,FL,WAS,73,198,Florida,SEC,139,55,5/30/1981,2,2003
2003,Taylor Jacobs,22,Tallahassee,FL,WAS,73,198,Florida,SEC,139,55,5/30/1981,2,2003
2005,Terry Jackson,29,Gainesville,FL,SFO,73,232,Florida,SEC,139,55,1/10/1976,5,1999
2008,Quinn Gray,29,Fort Lauderdale,FL,KAN,75,246,Florida A&M,MEAC,#N/A,#N/A,5/21/1979,0,0
1999,Andre Cooper,24,Camden,SC,DEN,74,210,Florida St.,ACC,130,54,6/21/1975,0,0
2012,Bear Pascoe,26,Kern County,CA,NYG,77,257,Fresno St.,Mountain West,121,74,9/13/1900,6,2009
2009,Billy Volek,33,Hemet,CA,SDG,74,0,Fresno St.,Mountain West,121,74,4/28/1976,0,0
2000,Luther Broughton,26,Charleston,SC,PHI,74,248,Furman,Southern,#N/A,#N/A,11/30/1974,0,1997
2012,Orson Charles,21,Tampa,FL,CIN,74,251,Georgia,SEC,142,53,9/7/1900,4,2012
2010,Will Heller,29,Dunwoody,GA,DET,78,250,Georgia Tech,ACC,117,77,2/28/1981,0,0
1999,Robert Thomas,25,Little Rock,AR,DAL,73,270,Henderson St.,Great American Conference,#N/A,#N/A,12/1/1974,0,0
2013,Josh Hill,23,0,,NOR,77,229,Idaho St.,Big Sky,#N/A,#N/A,1/0/1900,0,0
2003,Aaron Moorehead,23,Aurora,CO,IND,75,200,Illinois,Big Ten,73,107,11/5/1980,0,0
2003,Greg Lewis,23,Chicago,IL,PHI,73,180,Illinois,Big Ten,73,107,2/12/1980,0,0
2005,Jameel Cook,26,Miami,FL,TAM,70,237,Illinois,Big Ten,73,107,2/8/1979,6,2001
2004,Jameel Cook,25,Miami,FL,TAM,70,237,Illinois,Big Ten,73,107,2/8/1979,6,2001
2001,Kevin Kasper,24,Hinsdale,IL,DEN,73,197,Iowa,Big Ten,108,79,12/23/1977,6,2001
2010,Julian Edelman,24,Redwood City,CA,NWE,73,198,Kent St.,MAC,66,111,5/22/1986,7,2009
2000,Ben Coates,31,Greenwood,SC,BAL,77,245,Livingstone,#N/A,#N/A,#N/A,8/16/1969,0,1991
2012,Stephen Burton,23,Lakewood,CA,MIN,74,221,Long Beach CC,#N/A,#N/A,#N/A,8/8/1900,7,2011
2009,Jacob Hester,24,Shreveport,LA,SDG,71,230,LSU,SEC,146,48,5/8/1985,3,2008
1999,Eric Zeier,27,Pensacola,FL,TAM,73,214,Marietta,#N/A,#N/A,#N/A,9/6/1972,3,0
2002,James Williams,24,Vicksburg,MS,SEA,70,186,Marshall,Conference USA,107,80,3/6/1978,6,2000
